Id,Start time,Completion time,Email,Name,Gender,Age Group,Educational Background,Job Position,Years of Experience in Current Role,Industry Sector,Company Size,Employment Status,Marital Status,Geographic Location,Table 1 : Workplace Policies and Practices.Equal Pay: Men and women are paid equally for the same work at MyCompany.,Table 1 : Workplace Policies and Practices.Promotion Opportunities: Both genders have equal opportunities for career advancement at MyCompany.,Table 1 : Workplace Policies and Practices.Harassment Policies: There are clear policies and procedures in place to address gender-based harassment at MyCompany.,Table 1 : Workplace Policies and Practices.Parental Leave: Parental leave policies are equitable for both men and women at MyCompany.,Table 1 : Workplace Policies and Practices.Flexible Work Arrangements: Flexible work arrangements are accessible to all employees regardless of gender at MyCompany.,Table 2 : Workplace Environment.Inclusive Culture: The workplace fosters an inclusive culture where everyone feels respected and valued at MyCompany.,Table 2 : Workplace Environment.Work-Life Balance: Both men and women are supported in maintaining a healthy work-life balance at MyCompany.,Table 2 : Workplace Environment.Training and Development: Training and development opportunities are equally available to all employees at MyCompany.,Table 2 : Workplace Environment.Gender Bias: Gender biases are actively addressed and mitigated in the workplace at MyCompany.,Table 2 : Workplace Environment.Employee Well-being: Employee well-being initiatives consider gender-specific needs and concerns at MyCompany.,Table 3 : Leadership and Representation.Gender Diversity in Leadership: Leadership positions at MyCompany demonstrate gender diversity.,Table 3 : Leadership and Representation.Mentorship Programs: Mentorship programs at MyCompany are available to support career growth for all genders.,Table 3 : Leadership and Representation.Gender Representation in Decision-making: Both genders are represented in decision-making processes at MyCompany.,Table 3 : Leadership and Representation.Recognition of Women Leaders: Contributions of women leaders at MyCompany are acknowledged and celebrated.,Table 3 : Leadership and Representation.Gender Bias Training: Training programs are conducted at MyCompany to raise awareness about gender biases.,Table 4: Work-Life Balance.Family Support Policies: MyCompany offers supportive policies for employees with family responsibilities.,Table 4: Work-Life Balance.Remote Work Opportunities: Remote work options are available at MyCompany for employees needing flexibility.,Table 4: Work-Life Balance.Workload Distribution: Workloads at MyCompany are distributed fairly regardless of gender.,Table 4: Work-Life Balance.Childcare Assistance: MyCompany provides childcare assistance or subsidies.,Table 4: Work-Life Balance.Stress Management Resources: Resources for managing work-related stress are accessible to all employees at MyCompany.,Table 5: Career Development and Opportunities.Training Accessibility: Training and development programs at MyCompany are equally accessible to all genders.,Table 5: Career Development and Opportunities.Leadership Track: Both men and women have equal access to leadership development programs at MyCompany.,Table 5: Career Development and Opportunities.Promotion Transparency: Promotion processes at MyCompany are transparent and free from gender bias.,Table 5: Career Development and Opportunities.Skill Recognition: Skills and competencies at MyCompany are recognized and rewarded regardless of gender.,Table 5: Career Development and Opportunities.Networking Opportunities: Networking opportunities for career advancement are equally available to all employees at MyCompany.,Table 6 : Perception of Gender Inequality Assessment.Promotion Opportunities,Table 6 : Perception of Gender Inequality Assessment.Harassment Policies,Table 6 : Perception of Gender Inequality Assessment.Flexible Work Arrangements,Table 6 : Perception of Gender Inequality Assessment.Gender Representation in Decision-making,Table 6 : Perception of Gender Inequality Assessment.Recognition of Women Leaders,Any other feedback you want to provide?
53,3/5/24 7:45:27,3/5/24 7:49:56,anonymous,,Male,26 to 35,High school Diploma,Mid-Level,8 to 10 years,Finance,Large (501+ employees),Full-time,Married,Rural,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,N/A
54,3/5/24 9:30:39,3/5/24 9:33:48,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Technology,Medium (51-500 employees),Full-time,Single,Urban,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,
55,3/5/24 10:10:27,3/5/24 10:11:56,anonymous,,Male,18 to 25,High school Diploma,Mid-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,
56,3/5/24 12:09:12,3/5/24 12:11:31,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Technology,Small (1-50 employees),Full-time,Single,Suburban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
57,3/5/24 13:53:20,3/5/24 13:57:33,anonymous,,Female,26 to 35,High school Diploma,Entry-Level,Less than 1 year,Healthcare,Small (1-50 employees),Full-time,Single,Urban,Strongly disagree -1,Disagree -2,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly Disagree ,Strongly agree -5,Strongly Disagree ,Agree -4,
58,3/5/24 15:44:37,3/5/24 16:00:54,anonymous,,Male,26 to 35,Bachelor's Degree,Entry-Level,Less than 1 year,Education,Medium (51-500 employees),Contract,Single,Suburban,Strongly agree -5,Strongly agree -5,Agree 4,Neither agree nor disagree -3,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly agree -5,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,
59,3/5/24 20:22:29,3/5/24 20:26:55,anonymous,,Female,26 to 35,Master's Degree,Mid-Level,1 to 3 years,Finance,Medium (51-500 employees),Full-time,Married,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,
60,3/5/24 20:41:05,3/5/24 20:43:21,anonymous,,Male,36 to 45,Master's Degree,Senior-Level,8 to 10 years,Education,Small (1-50 employees),Full-time,Married,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
61,3/5/24 21:08:54,3/5/24 21:16:53,anonymous,,Female,26 to 35,Bachelor's Degree,Senior-Level,4 to 7 years,Other,Large (501+ employees),Full-time,Single,Urban,Agree 4,Agree 4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree 4,Neither agree nor disagree -3,Agree -4,Disagree -2,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,
62,3/5/24 21:27:36,3/5/24 21:29:08,anonymous,,Female,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Part-time,Single,Urban,Strongly disagree -1,Disagree -2,Agree 4,Strongly agree -5,Agree 4,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Disagree -2,Agree -4,Strongly agree -5,Agree -4,Agree -4,Disagree -2,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Strongly agree -5,Strongly disagree -1,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Strongly Agree -5,Strongly Disagree ,Disagree -2,Agree -4,Strongly agree -5,Strongly agree -5,
63,3/5/24 21:35:02,3/5/24 21:36:02,anonymous,,Female,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Manufacturing,Medium (51-500 employees),Contract,Married,Suburban,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Agree 4,Strongly agree -5,Disagree -2,Strongly disagree -1,Disagree -2,Disagree -2,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Strongly disagree -1,Disagree -2,Strongly disagree -1,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Agree -4,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Disagree ,Disagree -2,Agree -4,Strongly agree -5,Strongly agree -5,
64,3/5/24 21:31:38,3/5/24 21:38:15,anonymous,,Female,26 to 35,High school Diploma,Entry-Level,1 to 3 years,Education,Large (501+ employees),Full-time,Married,Suburban,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Disagree -2,Disagree -2,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,
65,3/5/24 21:42:32,3/5/24 21:43:37,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,8 to 10 years,Manufacturing,Small (1-50 employees),Contract,Married,Suburban,Disagree -2,Agree 4,Agree 4,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly Disagree ,Disagree -2,Neither agree nor disagree -3,Agree -4,Strongly agree -5,
66,3/5/24 21:42:00,3/5/24 21:44:03,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Good
67,3/5/24 21:45:24,3/5/24 21:51:49,anonymous,,Female,26 to 35,High school Diploma,Entry-Level,1 to 3 years,Education,Small (1-50 employees),Full-time,Married,Rural,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Neither agree nor disagree -3,Agree -4,Agree -4,Disagree -2,Disagree -2,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
68,3/5/24 21:56:56,3/5/24 22:04:14,anonymous,,Female,26 to 35,High school Diploma,Executive,8 to 10 years,Finance,Large (501+ employees),Full-time,Married,Suburban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly disagree -1,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,
69,3/5/24 22:01:31,3/5/24 22:05:30,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Technology,Medium (51-500 employees),Full-time,Single,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
70,3/5/24 22:30:41,3/5/24 22:35:19,anonymous,,Male,18 to 25,Other,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Freelance,Single,Suburban,Strongly disagree -1,Disagree -2,Agree 4,Neither agree nor disagree -3,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Disagree -2,Agree -4,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Strongly disagree -1,Neither agree nor disagree -3,Disagree -2,Disagree -2,Disagree -2,Neither agree nor disagree -3,Strongly agree -5,Strongly disagree -1,Strongly disagree -1,Neither agree nor disagree -3,Strongly disagree -1,Agree -4,Strongly Agree -5,Strongly Disagree ,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Neither agree nor disagree -3,
71,3/6/24 9:05:56,3/6/24 9:10:43,anonymous,,Male,18 to 25,High school Diploma,Mid-Level,1 to 3 years,Other,Small (1-50 employees),Part-time,Single,Urban,Neither agree nor disagree -3,Strongly agree -5,Agree 4,Disagree -2,Agree 4,Disagree -2,Neither agree nor disagree -3,Strongly disagree -1,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Agree -4,Strongly agree -5,Strongly agree -5,Agree -4,Strongly agree -5,Agree -4,Strongly agree -5,Disagree -2,Strongly disagree -1,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,
72,3/6/24 9:57:13,3/6/24 10:00:31,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Large (501+ employees),Contract,Single,Urban,Strongly agree -5,Strongly agree -5,Agree 4,Agree 4,Agree 4,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,No
73,3/6/24 15:12:44,3/6/24 15:18:27,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Part-time,Single,Suburban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
74,3/6/24 15:45:37,3/6/24 16:03:12,anonymous,,Female,26 to 35,Master's Degree,Senior-Level,4 to 7 years,Education,Large (501+ employees),Full-time,Married,Urban,Strongly agree -5,Strongly agree -5,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree 4,Disagree -2,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Strongly disagree -1,Neither agree nor disagree -3,Disagree -2,Disagree -2,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Strongly Disagree ,Neither agree nor disagree -3,Agree -4,
75,3/6/24 16:31:14,3/6/24 16:37:03,anonymous,,Female,46 to 55 ,Bachelor's Degree,Senior-Level,More than 10 years,Other,Large (501+ employees),Full-time,Married,Urban,Strongly agree -5,Strongly agree -5,Agree 4,Agree 4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Strongly Disagree ,Disagree -2,Disagree -2,Disagree -2,
76,3/6/24 21:44:39,3/6/24 21:47:11,anonymous,,Female,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Part-time,Single,Urban,Disagree -2,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Strongly disagree -1,Strongly disagree -1,Agree -4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Strongly Agree -5,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,No
77,3/6/24 22:03:03,3/6/24 22:04:46,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,Less than 1 year,Other,Small (1-50 employees),Full-time,Single,Suburban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,No
78,3/6/24 22:22:33,3/6/24 22:25:51,anonymous,,Female,26 to 35,Bachelor's Degree,Mid-Level,8 to 10 years,Education,Medium (51-500 employees),Full-time,Married,Suburban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Very good chance to us 
79,3/6/24 23:00:56,3/6/24 23:02:13,anonymous,,Male,18 to 25,High school Diploma,Senior-Level,8 to 10 years,Education,Small (1-50 employees),Part-time,Other,Suburban,Strongly disagree -1,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Disagree -2,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Strongly Disagree ,Disagree -2,Disagree -2,Disagree -2,Strongly Disagree ,
80,3/7/24 1:12:56,3/7/24 1:20:48,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,1 to 3 years,Technology,Medium (51-500 employees),Part-time,Single,Suburban,Strongly agree -5,Strongly agree -5,Agree 4,Agree 4,Agree 4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
81,3/7/24 9:56:06,3/7/24 9:58:26,anonymous,,Female,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Rural,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Agree -4,Strongly Agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
82,3/7/24 10:24:09,3/7/24 10:34:02,anonymous,,Female,26 to 35,High school Diploma,Mid-Level,4 to 7 years,Finance,Large (501+ employees),Full-time,Married,Urban,Strongly agree -5,Neither agree nor disagree -3,Disagree -2,Disagree -2,Agree 4,Agree -4,Agree -4,Strongly agree -5,Disagree -2,Disagree -2,Disagree -2,Agree -4,Agree -4,Agree -4,Disagree -2,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Strongly Agree -5,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Disagree -2,Disagree -2,All of things are not given according to the gender basis. 
83,3/7/24 10:45:08,3/7/24 10:47:26,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Freelance,Married,Suburban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,
84,3/7/24 10:53:53,3/7/24 11:01:25,anonymous,,Female,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Large (501+ employees),Full-time,Single,Suburban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly agree -5,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
85,3/7/24 11:02:08,3/7/24 11:05:48,anonymous,,Female,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Full-time,Single,Urban,Disagree -2,Neither agree nor disagree -3,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,
86,3/7/24 11:26:54,3/7/24 11:29:24,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Full-time,Single,Rural,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,
87,3/7/24 11:29:20,3/7/24 11:33:14,anonymous,,Female,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Other,Large (501+ employees),Full-time,Single,Urban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,
88,3/7/24 12:43:18,3/7/24 12:49:51,anonymous,,Female,26 to 35,Bachelor's Degree,Entry-Level,1 to 3 years,Other,Small (1-50 employees),Full-time,Single,Urban,Strongly agree -5,Strongly agree -5,Agree 4,Agree 4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Disagree -2,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,
89,3/7/24 17:02:07,3/7/24 17:22:14,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Education,Large (501+ employees),Full-time,Married,Rural,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
